userID,gender,age,city,state,membershipType,CreditScore,signUpDate,#_times_logged_in,avg_mins_logged_in,most_common_activityType,most_common_accountType,avg_#_of_activities_per_login,last_logged_in,days_since_login,most_recent_activity,most_recent_device_used,most_common_transaction_type,avg_income_payment,avg_days_between_login
1,Female,59,Laurenshire,New Jersey,Free,679,2022-09-24,21,31,Turned off notifications,Credit Card,3,2023-11-16 00:55:46.000,11,Reviewed Transaction History,Mobile,Bills,2803.33,20
10,Male,52,Tinaborough,Kansas,Free,613,2022-11-24,27,30,Reviewed Transaction History,Credit Card,2,2023-11-27 06:44:48.000,0,Reviewed Transaction History,Mobile,Income,3245.74,14
100,Female,47,West Marvin,Arkansas,Premium,687,2022-07-10,27,26,View Accounts,Student Loan,3,2023-11-15 20:43:19.000,12,View Accounts,Mobile,Income,2826.97,18
1000,Other,39,Port Erica,Maine,Premium,657,2022-05-13,6,26,View Accounts,Only Checking and Savings,2,2023-08-26 12:23:07.000,93,Created Budget,Mobile,Shopping,2295.61,86
1001,Female,59,Jenniferstad,Alaska,Premium,699,2022-03-16,27,29,Checked Credit Score,Car Loan,3,2023-11-08 07:36:30.000,19,Turned off notifications,Mobile,Entertainment,2809.5,23
1002,Female,66,Patriciamouth,Ohio,Premium,660,2023-06-05,4,28,Set Goal,Car Loan,4,2023-09-12 20:07:02.000,76,Reviewed Transaction History,Mobile,Groceries,3597.13,11
1003,Male,59,Mclaughlinbury,Connecticut,Premium,660,2023-05-04,12,28,Viewed Notifications,Car Loan,3,2023-11-08 21:29:25.000,19,View Accounts,Mobile,Groceries,2866.48,12
1004,Male,46,New Robinmouth,California,Premium,726,2021-12-16,28,32,Checked Credit Score,Mortgage,3,2023-11-22 19:02:43.000,5,View Budget,Mobile,Income,3142.17,25
1005,Other,30,Judymouth,New Mexico,Free,710,2023-07-17,15,31,Turned off notifications,Mortgage,3,2023-11-23 05:57:55.000,4,Turned off notifications,Desktop,Income,3206.39,8
1006,Male,49,Port Monicachester,North Dakota,Free,717,2022-04-03,9,27,View Budget,Credit Card,3,2023-09-03 12:31:38.000,85,Created Budget,Mobile,Dining,2787.29,63
1007,Female,21,Port Dannyfurt,Oregon,Free,682,2022-09-20,18,28,Added Account,Mortgage,3,2023-10-27 10:16:47.000,31,Turned off notifications,Mobile,Travel,3113.68,19
1008,Other,54,Mitchellton,North Carolina,Premium,717,2023-09-26,15,34,Added Account,Credit Card,3,2023-11-18 20:48:55.000,9,Added Account,Desktop,Bills,3928.93,3
1009,Other,61,South Danielle,Wisconsin,Free,743,2022-10-02,12,26,View Accounts,Student Loan,3,2023-11-15 21:13:12.000,12,Set Goal,Mobile,Groceries,2873.92,22
101,Other,48,New Elizabeth,Texas,Free,721,2023-09-24,28,36,Checked Credit Score,Student Loan,3,2023-11-24 16:15:21.000,3,Set Goal,Mobile,Income,3748.76,1
1010,Female,18,North Sharon,Mississippi,Free,723,2022-06-12,22,30,Viewed Notifications,Mortgage,3,2023-11-12 12:31:47.000,15,Added Account,Mobile,Travel,2881.9,23
1011,Female,29,Brookeport,Minnesota,Free,712,2022-12-21,5,35,Checked Credit Score,Credit Card,3,2023-10-12 13:22:59.000,46,Added Account,Mobile,Dining,3529.08,51
1012,Female,19,Patelshire,Vermont,Free,691,2021-11-26,15,29,Created Budget,Car Loan,3,2023-10-11 02:44:17.000,47,Viewed Notifications,Mobile,Shopping,2594.87,47
1013,Male,53,East William,New Jersey,Premium,774,2023-09-19,28,32,View Budget,Student Loan,3,2023-11-27 07:20:16.000,0,Reviewed Transaction History,Mobile,Groceries,2465.14,2
1014,Female,35,East Joseph,Pennsylvania,Premium,769,2022-01-14,28,35,Viewed Notifications,Student Loan,3,2023-11-25 09:03:52.000,2,View Budget,Mobile,Travel,3128.87,24
1015,Male,46,Lake Josephland,Idaho,Premium,625,2022-07-02,25,40,Set Goal,Mortgage,3,2023-10-08 19:48:37.000,50,Viewed Notifications,Mobile,Income,3045.1,18
1016,Other,22,Lake Riley,Vermont,Premium,666,2023-10-24,18,35,Added Account,Only Checking and Savings,3,2023-11-26 16:02:16.000,1,Set Goal,Mobile,Travel,3031.75,1
1017,Other,52,Mclaughlinbury,Connecticut,Premium,783,2023-03-15,14,32,Turned off notifications,Investments,3,2023-11-10 22:02:13.000,17,View Budget,Mobile,Shopping,3412.09,13
1018,Other,20,Port Ashley,Oregon,Premium,637,2022-04-19,30,33,Reviewed Transaction History,Student Loan,3,2023-10-29 10:49:18.000,29,Set Goal,Mobile,Groceries,2553.65,18
1019,Female,53,West Carla,Iowa,Free,742,2022-10-02,7,37,Added Account,Mortgage,3,2023-10-26 16:49:55.000,32,Added Account,Mobile,Income,2848.22,55
102,Other,61,West Ricardofort,Mississippi,Premium,652,2023-04-16,16,24,Added Account,Credit Card,3,2023-11-18 02:51:19.000,9,Reviewed Transaction History,Desktop,Groceries,2855.37,13
1020,Other,24,East Victoria,Massachusetts,Premium,785,2022-10-24,12,27,Reviewed Transaction History,Mortgage,3,2023-07-24 17:07:13.000,126,View Goals,Mobile,Dining,3676.61,24
1021,Male,53,West Melissafurt,Minnesota,Premium,725,2023-06-15,12,31,View Goals,Car Loan,3,2023-11-21 03:15:15.000,6,View Accounts,Mobile,Income,2673.93,14
1022,Other,45,Valdezshire,Minnesota,Premium,651,2023-05-31,24,30,Created Budget,Mortgage,3,2023-11-22 05:07:11.000,5,View Accounts,Mobile,Income,3118.21,7
1023,Male,39,North Brandon,Massachusetts,Premium,656,2022-12-30,2,23,Turned off notifications,Car Loan,4,2023-04-14 04:51:23.000,227,Turned off notifications,Mobile,Travel,3081.2,28
1024,Male,40,Brianland,Illinois,Premium,610,2023-04-14,6,29,Turned off notifications,Mortgage,3,2023-09-29 12:14:08.000,59,View Budget,Desktop,Entertainment,3013.51,26
1025,Male,56,Franklinstad,Arkansas,Free,625,2022-08-16,14,38,Reviewed Transaction History,Student Loan,3,2023-10-04 23:29:24.000,54,Turned off notifications,Mobile,Entertainment,3782.59,31
1026,Male,43,South Zachary,Louisiana,Free,723,2023-11-18,23,33,Set Goal,Student Loan,2,2023-11-25 21:29:46.000,2,Viewed Notifications,Mobile,Income,2952.08,0
1027,Male,18,Rhodeshaven,Colorado,Premium,778,2023-09-20,12,24,Set Goal,Car Loan,3,2023-11-25 12:14:50.000,2,Turned off notifications,Mobile,Groceries,2386.88,4
1028,Female,48,South Jessica,Indiana,Premium,658,2022-03-26,25,28,Turned off notifications,Student Loan,3,2023-11-14 10:04:06.000,13,Set Goal,Mobile,Travel,3718.3,23
1029,Female,64,New Kimberly,Ohio,Free,674,2022-06-15,18,30,View Budget,Student Loan,3,2023-10-18 14:43:32.000,40,View Goals,Desktop,Travel,3202.19,25
103,Female,33,Lindsayport,Maryland,Premium,643,2023-07-17,7,36,View Accounts,Investments,3,2023-11-21 14:04:09.000,6,View Goals,Mobile,Dining,3120.21,17
1030,Male,57,East Melissa,California,Premium,800,2022-11-04,13,34,Viewed Notifications,Only Checking and Savings,4,2023-11-14 21:34:20.000,13,Reviewed Transaction History,Desktop,Dining,3547.53,30
1031,Other,48,South Jessica,Indiana,Premium,769,2023-03-25,4,29,Reviewed Transaction History,Mortgage,3,2023-10-11 09:30:49.000,47,Created Budget,Mobile,Income,3132.9,49
1032,Male,33,Donaldfort,Minnesota,Free,712,2022-03-04,11,34,Set Goal,Student Loan,3,2023-11-02 23:41:15.000,25,Checked Credit Score,Mobile,Groceries,2512.73,47
1033,Male,68,Jerryborough,Indiana,Free,724,2023-06-30,29,28,Created Budget,Mortgage,3,2023-11-23 07:17:54.000,4,View Budget,Mobile,Dining,2732.33,5
1034,Female,63,Mooreside,Washington,Premium,650,2022-05-07,6,22,Created Budget,Mortgage,3,2023-10-29 15:47:42.000,29,Reviewed Transaction History,Mobile,Groceries,2884.18,101
1035,Other,30,Lake William,Vermont,Premium,704,2022-09-23,22,33,View Accounts,Car Loan,3,2023-11-08 03:14:38.000,19,View Accounts,Mobile,Income,3241.83,19
1036,Male,23,Mooreborough,Florida,Free,717,2023-07-16,18,29,Created Budget,Credit Card,3,2023-11-26 23:50:12.000,1,View Budget,Mobile,Travel,2228.87,7
1037,Other,22,Simsstad,Idaho,Premium,599,2022-07-04,21,31,Viewed Notifications,Only Checking and Savings,3,2023-09-20 20:29:10.000,68,Viewed Notifications,Mobile,Dining,4339.72,20
1038,Male,19,Georgemouth,New York,Free,690,2023-08-29,24,32,View Goals,Investments,3,2023-11-26 19:20:08.000,1,Turned off notifications,Mobile,Entertainment,2762.02,3
1039,Female,33,New Michelleton,Michigan,Premium,643,2022-05-05,21,37,Checked Credit Score,Only Checking and Savings,3,2023-10-26 07:53:51.000,32,Checked Credit Score,Mobile,Dining,1771.16,26
104,Other,62,North Franklin,New Hampshire,Premium,690,2023-04-30,1,37,View Budget,Student Loan,4,2023-11-02 04:35:38.000,25,View Budget,Mobile,Groceries,3579.2,NULL
1040,Male,49,Davisbury,Colorado,Premium,752,2022-12-16,12,42,View Budget,Mortgage,3,2023-11-02 08:26:53.000,25,Reviewed Transaction History,Mobile,Income,3245.19,27
1041,Male,60,Melanieburgh,Idaho,Premium,726,2023-05-26,30,35,Added Account,Only Checking and Savings,3,2023-11-24 20:56:56.000,3,View Goals,Desktop,Entertainment,3190,6
1042,Female,66,Port Lisa,Alaska,Premium,629,2022-09-01,14,31,Set Goal,Mortgage,3,2023-10-31 07:21:11.000,27,Added Account,Mobile,Income,2699.42,31
1043,Male,50,New Steve,Mississippi,Premium,753,2022-10-31,15,34,Set Goal,Car Loan,3,2023-11-08 10:13:09.000,19,Viewed Notifications,Desktop,Shopping,1955.55,26
1044,Other,44,Waltersborough,Kentucky,Premium,692,2022-06-26,8,41,View Budget,Student Loan,3,2023-08-30 23:43:16.000,89,Checked Credit Score,Mobile,Groceries,2904.06,48
1045,Female,47,Coxview,Nebraska,Premium,663,2021-11-30,22,30,View Budget,Mortgage,3,2023-11-26 07:26:09.000,1,Created Budget,Mobile,Entertainment,3031.07,34
1046,Other,49,Meredithville,Wyoming,Premium,645,2022-08-18,24,34,Added Account,Car Loan,3,2023-11-08 18:07:41.000,19,Added Account,Mobile,Income,3303.79,19
1047,Other,54,Kristenton,Vermont,Premium,748,2022-05-15,20,30,Checked Credit Score,Car Loan,3,2023-11-26 13:57:55.000,1,Checked Credit Score,Mobile,Dining,2899.93,25
1048,Male,62,Garciachester,Wisconsin,Free,764,2023-01-03,10,34,View Budget,Credit Card,2,2023-10-04 00:46:00.000,54,Reviewed Transaction History,Mobile,Income,3230.34,27
1049,Other,46,North Michaelberg,Maryland,Premium,679,2022-03-26,22,38,View Accounts,Student Loan,3,2023-11-21 09:41:15.000,6,View Accounts,Mobile,Travel,2658.78,28
105,Female,58,West Jasonville,Colorado,Premium,686,2022-07-17,2,29,View Budget,Investments,4,2023-01-13 06:30:24.000,318,View Budget,Mobile,Travel,3193.79,3
1050,Other,23,Colontown,Alaska,Free,737,2023-08-16,24,28,View Budget,Credit Card,3,2023-11-15 22:57:06.000,12,Checked Credit Score,Desktop,Entertainment,2522.48,3
1051,Female,67,New Steve,Mississippi,Premium,739,2022-07-02,30,27,Added Account,Car Loan,3,2023-10-28 13:49:31.000,30,View Budget,Mobile,Entertainment,2454.11,16
1052,Other,68,Coxview,Nebraska,Free,645,2022-05-23,17,35,Set Goal,Credit Card,3,2023-11-16 13:24:20.000,11,View Budget,Desktop,Shopping,3766.59,20
1053,Female,46,Port Rachelchester,Oregon,Premium,680,2023-01-02,12,28,Set Goal,Investments,3,2023-10-26 00:07:59.000,32,Set Goal,Mobile,Shopping,2836.64,24
1054,Male,58,New Steve,Mississippi,Free,623,2022-01-18,27,27,Set Goal,Credit Card,3,2023-10-24 17:50:25.000,34,Set Goal,Mobile,Bills,3744.56,24
1055,Female,47,Johnshire,Virginia,Free,775,2022-11-26,23,31,Reviewed Transaction History,Student Loan,3,2023-11-27 01:12:26.000,0,Added Account,Mobile,Entertainment,2716.24,16
1056,Female,21,Port Rachelchester,Oregon,Premium,661,2022-11-19,15,29,Added Account,Mortgage,4,2023-09-19 10:01:38.000,69,Turned off notifications,Mobile,Entertainment,3052.27,21
1057,Male,66,Jessicaside,South Dakota,Premium,692,2022-04-08,1,18,Set Goal,Car Loan,3,2023-05-27 01:18:19.000,184,Checked Credit Score,Mobile,Income,2784.64,NULL
1058,Female,31,West Carla,Iowa,Free,626,2023-05-16,6,29,Added Account,Investments,3,2023-10-04 23:45:48.000,54,Added Account,Mobile,Shopping,2421.96,21
1059,Female,53,Espinozaside,West Virginia,Premium,726,2022-11-07,27,33,Added Account,Mortgage,3,2023-10-09 15:23:58.000,49,View Budget,Mobile,Travel,2938.95,12
106,Male,59,Lake Vanessa,Utah,Free,625,2023-10-29,8,31,View Accounts,Student Loan,4,2023-11-27 07:53:22.000,0,Added Account,Mobile,Entertainment,2919.42,3
1060,Female,45,Katieside,Virginia,Premium,661,2023-07-21,23,30,Created Budget,Mortgage,3,2023-11-23 00:25:36.000,4,Set Goal,Mobile,Dining,3162.14,5
1061,Male,22,North Heather,West Virginia,Premium,636,2021-12-27,2,31,View Budget,Mortgage,3,2023-03-18 04:51:20.000,254,View Budget,Desktop,Shopping,2622.84,245
1062,Male,60,East Victoria,Massachusetts,Premium,741,2022-11-25,25,31,Checked Credit Score,Mortgage,3,2023-11-14 13:05:13.000,13,Created Budget,Mobile,Groceries,2483.11,14
1063,Female,55,Michellefurt,Alaska,Free,760,2022-04-18,23,35,Set Goal,Credit Card,3,2023-11-21 18:08:40.000,6,View Accounts,Mobile,Travel,3119.39,25
1064,Other,60,Johnsonville,North Carolina,Free,642,2023-02-28,3,37,View Accounts,Car Loan,3,2023-08-06 17:22:30.000,113,Added Account,Mobile,Groceries,3850.99,52
1065,Other,43,Laurenshire,New Jersey,Free,626,2022-12-16,24,32,View Goals,Mortgage,3,2023-11-21 19:17:49.000,6,Set Goal,Mobile,Groceries,2525.88,14
1066,Male,67,West Mathew,Kansas,Premium,705,2023-05-04,28,36,Checked Credit Score,Investments,3,2023-11-19 04:26:06.000,8,Reviewed Transaction History,Mobile,Groceries,2917.9,6
1067,Male,53,Tinaborough,Kansas,Free,661,2023-03-27,1,40,Viewed Notifications,Investments,5,2023-04-08 22:20:51.000,233,Reviewed Transaction History,Mobile,Income,3106.72,NULL
1068,Other,47,Johnsonside,Delaware,Premium,717,2023-11-12,14,35,View Goals,Investments,3,2023-11-27 05:07:39.000,0,View Budget,Mobile,Groceries,3249.2,1
1069,Female,41,Lake Michaelside,Vermont,Premium,707,2023-10-20,9,43,Reviewed Transaction History,Credit Card,3,2023-11-25 23:51:34.000,2,Reviewed Transaction History,Mobile,Bills,2862.31,3
107,Other,55,Port Luisfort,Louisiana,Free,593,2023-09-12,28,30,View Budget,Credit Card,3,2023-11-26 14:06:30.000,1,View Budget,Mobile,Travel,3278.95,2
1070,Male,49,West Brianhaven,Montana,Premium,657,2023-11-24,26,36,Added Account,Mortgage,3,2023-11-27 07:46:32.000,0,View Goals,Desktop,Bills,2388.85,0
1071,Female,56,Judymouth,New Mexico,Free,612,2022-08-01,26,31,View Goals,Credit Card,3,2023-11-22 09:01:17.000,5,View Accounts,Mobile,Dining,3473.89,17
1072,Male,40,East Kelly,Missouri,Premium,652,2022-05-09,16,33,Created Budget,Car Loan,3,2023-11-21 10:46:01.000,6,Turned off notifications,Mobile,Entertainment,2567.57,37
1073,Other,25,Lake William,Vermont,Free,684,2022-01-16,14,33,Checked Credit Score,Student Loan,3,2023-09-17 07:12:51.000,71,Added Account,Mobile,Dining,2946.17,45
1074,Male,24,Nicholasfort,Wisconsin,Free,714,2021-12-09,5,30,Set Goal,Investments,3,2023-07-18 02:04:55.000,132,Created Budget,Desktop,Groceries,2528.59,142
1075,Other,35,East Jimmybury,Georgia,Free,714,2023-03-04,10,32,Created Budget,Student Loan,3,2023-10-12 11:06:26.000,46,Checked Credit Score,Mobile,Entertainment,3133.55,23
1076,Female,56,East Denise,New Jersey,Free,637,2023-02-02,12,29,Viewed Notifications,Student Loan,3,2023-10-28 07:09:50.000,30,View Goals,Desktop,Bills,3203.19,24
1077,Other,34,Michaelborough,Colorado,Free,641,2022-03-17,20,32,Checked Credit Score,Credit Card,3,2023-11-20 13:17:34.000,7,View Accounts,Desktop,Bills,3224.89,32
1078,Other,27,Kristenton,Vermont,Premium,779,2023-05-09,27,36,Set Goal,Mortgage,3,2023-11-26 18:14:19.000,1,Set Goal,Desktop,Groceries,3081.9,7
1079,Male,29,Lake Sarahville,Arizona,Free,672,2022-03-01,21,34,Created Budget,Student Loan,3,2023-11-01 14:47:49.000,26,Turned off notifications,Mobile,Dining,2924.93,28
